name,type,ownership,city,state,aka,slug
J.K.K.Natraja College of Engineering & Technology,affiliated_college,private_unaided,Namakkal,Tamil Nadu,1-46224546036,j-k-k-natraja-college-of-engineering-technology
G T N College of Technology,affiliated_college,private_unaided,Dindigul,Tamil Nadu,1-46284944170,g-t-n-college-of-technology
Cauvery College for Women,affiliated_college,private_unaided,Tiruchirappalli,Tamil Nadu,1-46285093695,cauvery-college-for-women
AJK College of ARTS and Science,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46285093840,ajk-college-of-arts-and-science
Seethalakshmi Ramaswami College,affiliated_college,government_aided,Tiruchirappalli,Tamil Nadu,1-46284788795,seethalakshmi-ramaswami-college
Thiagarajar College,affiliated_college,government_aided,Madurai,Tamil Nadu,1-46285255470,thiagarajar-college
SRM Institute of Science and Technology,deemed_university,trust_society,Kanchipuram,Tamil Nadu,1-46284539655,srm-institute-of-science-and-technology
CARE College of ARTS and Science,affiliated_college,private_unaided,Tiruchirappalli,Tamil Nadu,1-46285256087,care-college-of-arts-and-science
Chettinad Academy of Research and Education,deemed_university,trust_society,Kanchipuram,Tamil Nadu,1-46285384283,chettinad-academy-of-research-and-education
Kamaraj Women'S College,affiliated_college,private_unaided,Thoothukudi,Tamil Nadu,1-46285095053,kamaraj-women-s-college
Government Polytechnic College Thiruvottriyur,affiliated_college,government,Chennai,Tamil Nadu,1-46285153226,government-polytechnic-college-thiruvottriyur
Auxilium College Autonomous,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46285579251,auxilium-college-autonomous-1-46285579251
Vivekanandha ARTS and Science College for Women,affiliated_college,private_unaided,Salem,Tamil Nadu,1-46285579686,vivekanandha-arts-and-science-college-for-women
Vellore Institute of Technology Chennai OFF Campus,deemed_university,trust_society,Kanchipuram,Tamil Nadu,1-46284603822,vellore-institute-of-technology-chennai-off-campus
National College,affiliated_college,government_aided,Tiruchirappalli,Tamil Nadu,1-46284716450,national-college-1-46284716450
Vellore Institute of Technology,deemed_university,trust_society,Vellore,Tamil Nadu,1-46284605014,vellore-institute-of-technology
Jeppiaar Engineering College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46284621691,jeppiaar-engineering-college
Academy of Maritime Education and Training Deemed to BE University,deemed_university,trust_society,Kanchipuram,Tamil Nadu,1-46284901842,academy-of-maritime-education-and-training-deemed-to-be-university-1-46284901842
NPV ARTS and Science College,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46285456247,npv-arts-and-science-college
Madras Engineering College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46285580367,madras-engineering-college
SASI Creative School of Architecture and Design,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46284902531,sasi-creative-school-of-architecture-and-design
Hindusthan College of Engineering,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46285316338,hindusthan-college-of-engineering
Sathyabama Institute of Science and Technology Sriperumbudur Campus,deemed_university,trust_society,Kanchipuram,Tamil Nadu,1-46284902698,sathyabama-institute-of-science-and-technology-sriperumbudur-campus
Dr.Mgreri OFF Campus,deemed_university,trust_society,Tiruvannamalai,Tamil Nadu,1-46284903091,dr-mgreri-off-campus
SUN College of Engineering and Technology,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46284654858,sun-college-of-engineering-and-technology
Sivanthi Aditanar College,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46285456928,sivanthi-aditanar-college
Sasurie Academy of Engineering,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46285637410,sasurie-academy-of-engineering
Padmavani ARTS and Science College for Women,affiliated_college,private_unaided,Salem,Tamil Nadu,1-46285771507,padmavani-arts-and-science-college-for-women
M.I.E.T. ARTS and Science College,affiliated_college,private_unaided,Tiruchirappalli,Tamil Nadu,1-46283682616,m-i-e-t-arts-and-science-college
SRI Venkateswara of ENGG & TECH Inst.Of Computer & Management Studies,affiliated_college,private_unaided,Thiruvallur,Tamil Nadu,1-46287102984,sri-venkateswara-of-engg-tech-inst-of-computer-management-studies
Knowledge Institute of Technology,affiliated_college,private_unaided,Salem,Tamil Nadu,1-46286992176,knowledge-institute-of-technology
Erode Sengunthar Engineering College,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46287168245,erode-sengunthar-engineering-college
SRM Trichy ARTS and Science College,affiliated_college,private_unaided,Tiruchirappalli,Tamil Nadu,1-46283065836,srm-trichy-arts-and-science-college
St. Joseph'S College of Engineering,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46286993073,st-joseph-s-college-of-engineering
Loyola Institute of Technology & Science,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46287027266,loyola-institute-of-technology-science
SRI SAI RAM Engineering College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46286857701,sri-sai-ram-engineering-college
SRI Venkateswara College of Engineeirng & Technology,affiliated_college,private_unaided,Thiruvallur,Tamil Nadu,1-46286872178,sri-venkateswara-college-of-engineeirng-technology
P.K.R. ARTS College for Women,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46283098166,p-k-r-arts-college-for-women
SRI Krishna College of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46286909593,sri-krishna-college-of-engineering-and-technology-1-46286909593
SRI Balaji ARTS and Science College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46283924277,sri-balaji-arts-and-science-college
SRI Ramakrishna Engineering College,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46287085671,sri-ramakrishna-engineering-college
Sasurie College of ARTS and Science,affiliated_college,private_unaided,Tiruppur,Tamil Nadu,1-46282993608,sasurie-college-of-arts-and-science
M.M.E.S. Women'S ARTS and Science College,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46283269655,m-m-e-s-women-s-arts-and-science-college
Excel Engineering College,affiliated_college,private_unaided,Namakkal,Tamil Nadu,1-46286921066,excel-engineering-college
St. Joseph'S College of Engineering,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46287101443,st-joseph-s-college-of-engineering-1-46287101443
SRI Ramakrishna Mission Vidyalaya College of ARTS and Science,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46281245863,sri-ramakrishna-mission-vidyalaya-college-of-arts-and-science-1-46281245863
GURU Shree Shantivijai JAIN College for Women,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46282266807,guru-shree-shantivijai-jain-college-for-women
Shree Raghavendra ARTS and Science College,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46282266959,shree-raghavendra-arts-and-science-college
SRI SAI Bharath College of ARTS and Science,affiliated_college,private_unaided,Dindigul,Tamil Nadu,1-46281494644,sri-sai-bharath-college-of-arts-and-science
Tirunelveli Dakshina MARA Nadar Sangam College,affiliated_college,private_unaided,Tirunelveli,Tamil Nadu,1-46282052307,tirunelveli-dakshina-mara-nadar-sangam-college
Valliammal College for Women,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46282508997,valliammal-college-for-women-1-46282508997
St.Antony'S College of ARTS and Sciences for Women,affiliated_college,private_unaided,Dindigul,Tamil Nadu,1-46281376751,st-antony-s-college-of-arts-and-sciences-for-women
Government ARTS College Autonomous,affiliated_college,government,Thanjavur,Tamil Nadu,1-46282565734,government-arts-college-autonomous-1-46282565734
MOP Vaishnav College for Women Autonomous,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46281377023,mop-vaishnav-college-for-women-autonomous
Aries ARTS and Science College for Women,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46282327699,aries-arts-and-science-college-for-women
Dwaraka DOSS Goverdhan DOSS Vaishnav College,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46279458725,dwaraka-doss-goverdhan-doss-vaishnav-college-1-46279458725
M.G.R. College,affiliated_college,private_unaided,Krishnagiri,Tamil Nadu,1-46282213548,m-g-r-college
S.I.V.E.T.College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46282453861,s-i-v-e-t-college
Islamiah Women'S ARTS and Science College,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46282566124,islamiah-women-s-arts-and-science-college
THE NEW College,affiliated_college,government_aided,Chennai,Tamil Nadu,1-46281313248,the-new-college
Muslim ARTS College,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46281313317,muslim-arts-college
Sadakathullah APPA College,affiliated_college,government_aided,Tirunelveli,Tamil Nadu,1-46282105476,sadakathullah-appa-college
DON Bosco College COED,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46282214046,don-bosco-college-coed
Islamiah College,affiliated_college,government_aided,Vellore,Tamil Nadu,1-46282566589,islamiah-college
Arakkonam ARTS and Science College,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46282214146,arakkonam-arts-and-science-college
Nanjil Catholic College of ARTS and Science,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46281313628,nanjil-catholic-college-of-arts-and-science
Krishnasamy College of Science ARTS and Management for Women,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46281313674,krishnasamy-college-of-science-arts-and-management-for-women
Thiru.A.Govindasamy Government ARTS College,affiliated_college,government,Viluppuram,Tamil Nadu,1-46281556396,thiru-a-govindasamy-government-arts-college
G.Venkataswamy Naidu College,affiliated_college,government_aided,Thoothukudi,Tamil Nadu,1-46281314186,g-venkataswamy-naidu-college
SRI Sankara ARTS and Science College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46282671027,sri-sankara-arts-and-science-college
PEE GEE College of ARTS and Science,affiliated_college,private_unaided,Dharmapuri,Tamil Nadu,1-46281058294,pee-gee-college-of-arts-and-science
SYED Hameedha ARTS and Science College,affiliated_college,private_unaided,Ramanathapuram,Tamil Nadu,1-46282214789,syed-hameedha-arts-and-science-college
SRI Sarada Mahavidyalayam ARTS and Science College for Women,affiliated_college,private_unaided,Viluppuram,Tamil Nadu,1-46282214820,sri-sarada-mahavidyalayam-arts-and-science-college-for-women
Mohamed Sathak Hamid College of ARTS and Science for Women,affiliated_college,private_unaided,Ramanathapuram,Tamil Nadu,1-46282215041,mohamed-sathak-hamid-college-of-arts-and-science-for-women
CSM College of ARTS and Science,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46281556969,csm-college-of-arts-and-science
Bharath College of Science and Management,affiliated_college,private_unaided,Thanjavur,Tamil Nadu,1-46281856234,bharath-college-of-science-and-management
Dr MGR Janki College of ART and Science for Women,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46281994348,dr-mgr-janki-college-of-art-and-science-for-women
Kovai Kalaimagal College of ARTS and Science,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46282106626,kovai-kalaimagal-college-of-arts-and-science
Malankara Catholic College,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46282106712,malankara-catholic-college
Arignar ANNA College ARTS and Science,affiliated_college,private_unaided,Krishnagiri,Tamil Nadu,1-46282107041,arignar-anna-college-arts-and-science
Meenakshi Academy of Higher Education and Research,deemed_university,trust_society,Chennai,Tamil Nadu,1-46282507785,meenakshi-academy-of-higher-education-and-research
Dhanraj BAID JAIN College,affiliated_college,government_aided,Chennai,Tamil Nadu,1-46282788420,dhanraj-baid-jain-college
Muthurangam Government ARTS College Vellore,affiliated_college,government,Vellore,Tamil Nadu,1-46282507926,muthurangam-government-arts-college-vellore
C Abdul Hakeem College,affiliated_college,government_aided,Vellore,Tamil Nadu,1-46282741197,c-abdul-hakeem-college
SIGA College of Management and Computer Sceince,affiliated_college,private_unaided,Viluppuram,Tamil Nadu,1-46281856944,siga-college-of-management-and-computer-sceince
Tittagudi Sengunthar ARTS College,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46282266152,tittagudi-sengunthar-arts-college
